Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20
"Okaloosa County, FL",US,30.5773,-86.6611,2,1,5,5,3,2,1,3,2,4,5,6,1,3,2,2,2,3,4,4,4,4,2,3,2,2,1,2,1,3,2,2,2,2,2,3,4,6,3,2,3,4,3,4,5,4,2,2,2,2,2,4,5,2,1,3,1,3,3,3,2,2,4,3,3,3,4,3,3,3,2,2,2,2,1,1,2,1,3
"Polk County, GA",US,34.0132,-85.1479,3,1,2,2,4,2,1,4,1,3,4,6,1,1,2,1,3,3,3,4,3,3,1,3,3,2,1,1,1,1,1,2,1,3,2,2,3,3,4,1,2,3,3,2,4,2,2,1,2,2,2,3,3,0,1,2,1,3,3,3,3,2,3,3,1,2,4,2,2,2,2,2,2,2,1,1,2,1,2
"Riverside County, CA",US,33.9533,-117.3961,3,1,1,1,1,1,2,1,1,1,1,1,1,0,0,1,1,1,2,2,1,1,0,1,1,1,1,1,1,3,2,1,1,2,5,4,1,1,1,1,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,3,3,1,1,1,2,1,1,2,1,2,0,0,1,1,1,1
"Shelby County, TN",US,35.1269,-89.9253,3,2,2,2,3,3,2,3,2,5,6,5,1,1,1,3,5,4,5,4,3,2,2,3,3,2,2,1,2,3,1,1,2,4,5,5,3,3,2,1,5,3,3,2,4,3,2,1,3,4,4,5,2,1,2,5,2,4,2,3,1,5,5,2,1,3,4,1,3,5,3,2,4,4,3,4,1,2,3
"St. Louis County, MO",US,38.6103,-90.4125,4,3,2,2,3,3,1,3,2,5,3,4,2,2,1,2,3,4,5,5,2,2,3,2,2,3,0,1,1,2,1,1,2,3,3,4,4,3,2,2,3,2,1,1,5,2,3,1,2,3,2,3,1,2,2,3,3,4,2,3,2,4,1,3,2,4,4,2,4,5,3,1,3,2,3,2,1,1,2
"Suffolk County, NY",US,40.9849,-72.6151,5,7,5,2,2,9,5,3,8,5,4,8,8,4,2,3,8,10,4,7,8,5,2,2,2,7,5,6,5,5,3,2,1,4,3,2,4,5,9,7,4,5,2,5,3,7,4,4,2,5,6,4,5,5,3,3,2,4,10,8,7,5,6,4,7,4,5,8,4,5,6,3,3,7,6,3,6,3,3
"Ulster County, NY",US,41.8586,-74.3118,1,3,2,1,1,4,2,1,4,2,2,3,4,1,1,1,5,4,1,3,3,1,1,1,1,2,2,3,3,2,1,1,0,1,2,1,2,1,3,3,1,2,1,2,1,4,2,2,1,1,4,2,2,2,2,1,1,1,5,4,3,2,2,2,5,2,1,4,2,3,3,2,1,3,3,2,2,2,2
"Volusia County, FL",US,29.028000000000002,-81.0755,2,1,1,3,4,2,1,2,3,4,4,4,3,2,1,1,1,5,3,3,4,5,5,2,1,2,1,0,3,1,4,1,2,3,1,1,2,5,5,2,2,3,2,2,3,3,4,2,1,2,1,2,7,5,2,2,3,2,3,2,3,1,2,3,2,4,4,5,3,3,2,1,1,1,1,1,2,2,2
"Fairfax County, VA",US,38.9085,-77.2405,2,2,1,1,1,3,1,1,2,1,2,3,3,1,1,1,4,3,2,3,3,2,1,1,2,2,2,2,3,2,1,1,1,2,1,1,2,1,4,1,1,2,1,2,3,3,1,1,1,1,2,1,2,1,1,1,1,1,4,2,3,1,2,2,2,2,2,3,2,2,3,2,1,2,2,1,2,1,2
"Rockingham County, NH",US,42.9931,-71.0498,3,4,2,2,1,4,1,2,3,3,2,4,5,2,1,1,3,5,1,3,3,1,1,1,1,3,2,2,3,3,1,1,0,1,2,1,2,2,4,4,1,2,1,3,1,4,2,2,2,2,4,2,2,3,1,1,1,2,6,4,3,3,2,2,6,3,3,5,2,2,2,2,2,4,4,3,2,2,2
"Washington, D.C.",US,38.9072,-77.0369,2,2,1,1,1,4,2,1,3,2,2,3,3,1,1,1,5,3,2,4,3,2,1,0,1,2,2,2,3,2,1,0,1,2,1,1,2,1,4,2,1,2,1,2,3,4,2,1,1,1,3,1,2,1,1,1,1,1,5,2,4,1,2,2,3,2,2,4,2,2,3,2,2,3,2,1,2,2,2
"Montgomery County, PA",US,40.229,-75.3879,2,3,1,0,2,5,2,1,4,1,2,3,5,1,1,1,5,4,2,4,4,2,0,0,2,4,3,3,3,2,1,0,0,2,2,1,2,1,5,3,1,3,1,2,2,4,1,1,1,2,3,2,2,2,1,1,1,2,6,4,4,3,2,2,4,2,2,4,2,2,3,1,2,4,3,2,3,1,2
"Alameda County, CA",US,37.6017,-121.7195,2,1,1,1,1,1,2,1,2,2,1,2,2,2,2,1,3,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,3,2,3,1,1,1,1,6,3,3,1,1,1,1,2,2,2,1,1,2,2,2,2,3,1,2,1,3,3,4,2,1,1,2,2,1,2,2,1,2,3,3,3,2,1,1
"Broward County, FL",US,26.1901,-80.3659,2,1,2,3,4,4,2,2,3,6,6,5,4,3,3,2,1,4,5,2,2,4,4,2,1,2,2,2,2,2,2,1,3,3,1,2,2,5,4,3,4,4,3,3,3,1,4,3,1,3,2,2,4,4,3,3,3,3,3,3,2,3,3,3,3,3,3,4,5,6,4,3,2,2,3,2,2,3,3
"Lee County, FL",US,26.663,-81.9535,2,1,3,4,4,3,1,1,3,4,4,4,3,3,2,1,1,4,3,3,3,5,4,2,2,2,2,2,2,2,2,2,2,3,1,2,3,6,4,3,4,3,2,2,3,2,4,2,1,1,1,2,5,4,3,3,3,3,5,3,3,2,3,3,3,4,4,4,4,4,3,2,1,1,2,2,2,2,2
"Pinal County, AZ",US,32.8162,-111.2845,3,2,1,2,2,2,3,3,3,3,2,2,2,2,2,2,3,2,2,3,3,2,1,2,2,2,2,2,2,3,2,2,3,4,5,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,5,5,2,2,4,5,3,3,2,4,2,3,2,3,5,4,3,2,2,2,2,3,2,2,2,3,4
"Rockland County, NY",US,41.1489,-73.983,1,3,1,0,1,4,2,1,3,2,2,3,4,1,0,1,4,4,1,3,3,1,0,0,1,2,2,2,3,2,1,0,0,1,1,1,2,1,3,2,1,2,1,2,1,3,1,2,1,1,3,2,2,1,1,1,0,1,5,4,3,2,2,2,4,2,1,4,2,2,3,2,1,3,3,2,2,1,1
"Saratoga County, NY",US,43.0324,-73.936,1,4,2,1,1,3,2,1,4,2,1,2,4,1,1,2,3,3,1,3,3,1,1,0,1,2,2,3,2,2,1,0,0,1,2,1,2,2,3,3,1,2,1,2,1,3,2,2,2,2,4,2,2,2,1,1,1,2,5,5,4,2,2,2,5,2,2,3,3,2,2,2,2,4,5,2,2,3,1
"Charleston County, SC",US,32.7957,-79.7848,6,4,1,6,6,5,3,4,3,4,4,6,5,2,3,2,4,7,5,6,6,8,7,6,3,4,3,4,3,3,6,6,4,6,4,5,4,8,9,2,3,3,5,2,6,4,6,4,4,2,3,7,8,4,1,2,4,4,6,5,5,2,3,6,3,6,7,5,3,2,3,3,3,4,4,3,4,1,3
"Clark County, WA",US,45.7466,-122.5194,3,2,2,2,3,3,5,4,1,1,3,3,4,2,2,4,1,2,3,3,2,3,2,3,2,2,3,3,3,2,2,3,3,1,1,1,2,2,3,3,1,1,1,1,1,1,2,1,1,2,4,3,1,1,4,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,2,1,0,4,4,2,1,1
"Cobb County, GA",US,33.8999,-84.5641,3,2,2,1,4,2,1,3,1,2,3,4,1,1,1,1,3,3,3,4,4,2,1,3,2,3,1,1,1,1,1,2,2,2,1,2,3,3,4,1,2,2,3,2,4,3,2,1,1,1,2,3,2,0,0,2,1,3,3,2,3,1,2,2,1,2,4,2,2,2,2,2,1,2,1,2,2,1,1
"Davis County, UT",US,40.9629,-112.0953,1,3,2,2,2,2,2,2,2,2,2,2,2,3,4,2,4,4,2,1,1,1,1,1,2,1,2,1,2,2,1,2,2,3,6,2,2,2,2,3,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,4,2,2,1,2,3,3,2,1,2,2,4,6,2,2,2,2,2,3,7,6,3,3,2
"El Paso County, CO",US,38.9108,-104.4723,3,3,3,3,3,4,4,2,3,3,4,2,3,2,4,3,4,5,3,2,2,2,4,3,2,3,2,2,3,1,5,4,4,4,5,4,2,3,2,2,5,3,4,5,3,3,3,3,4,3,4,2,2,2,6,6,9,2,3,3,2,4,3,3,4,4,2,3,3,4,3,3,4,7,3,4,4,5,4
"Honolulu County, HI",US,21.307,-157.8584,3,1,1,3,3,3,4,4,4,4,4,4,2,3,4,3,1,2,3,3,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,3,3,3,3,4,2,1,2,3,3,4,3,3,4,3,3,1,1,2,3,3,3,4,4,4,2,1,2,1,4,3,4,2,1,2,1,1,2,1,2,1,2
"Jackson County, OR ",US,42.3345,-122.7647,1,2,1,3,1,1,1,1,1,1,2,3,2,2,2,4,1,2,3,2,2,2,2,2,1,2,1,2,2,1,1,1,1,2,1,1,0,1,1,2,1,1,1,1,2,1,1,1,1,2,3,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"Jefferson County, WA",US,47.7425,-123.304,4,3,3,5,3,3,3,3,2,1,3,2,3,1,2,4,2,2,3,2,2,3,2,3,2,2,3,2,1,3,2,5,3,1,1,2,3,2,3,2,1,1,2,0,2,2,2,2,1,1,1,1,1,1,4,2,1,1,1,3,2,1,2,3,2,3,1,1,1,1,3,2,1,2,2,2,1,1,1
"Kershaw County, SC",US,34.3672,-80.5883,4,2,1,2,4,2,1,2,2,2,2,4,2,1,2,1,3,3,2,3,3,3,3,2,3,2,1,2,1,1,2,3,2,3,2,3,3,4,7,1,1,1,5,2,5,2,3,0,1,1,3,4,4,0,1,1,2,2,4,3,3,1,3,3,1,2,4,3,1,2,2,2,1,3,2,2,2,1,2
"Klamath County, OR",US,42.6953,-121.6142,1,4,2,2,2,3,2,2,3,1,3,4,5,4,3,4,2,2,2,1,2,3,2,2,2,2,2,3,4,1,1,2,3,3,2,1,2,2,2,4,2,2,1,1,2,1,2,2,1,1,2,1,1,1,3,1,1,1,1,2,2,3,2,1,1,2,3,2,1,1,1,1,2,3,3,3,3,3,2
"Madera County, CA",US,37.2519,-119.6963,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,3,2,1,1
"Pierce County, WA",US,47.0676,-122.1295,4,4,2,4,3,3,4,4,3,1,3,4,4,2,3,4,2,1,3,2,1,3,2,3,2,2,3,2,2,2,2,4,4,1,1,2,4,3,4,3,1,1,2,0,2,3,3,3,1,1,2,1,1,1,4,2,1,1,1,2,2,1,3,3,2,2,1,1,1,1,2,2,1,1,2,3,2,1,1
"Tulsa County, OK",US,36.1593,-95.941,3,5,2,3,2,3,2,2,4,6,5,4,4,4,3,4,5,4,5,2,2,3,5,3,4,2,1,1,5,4,1,2,2,3,5,5,4,2,1,2,5,4,3,2,5,3,4,1,2,5,3,5,1,4,4,4,3,5,3,3,3,6,3,1,2,3,2,4,6,7,2,2,5,6,3,3,2,3,4
"Douglas County, CO",US,39.2587,-104.9389,4,4,2,3,4,4,4,3,5,3,2,2,3,4,5,4,5,5,2,2,2,2,2,1,2,2,2,2,2,1,3,3,5,5,3,2,2,3,2,4,2,2,3,3,2,4,2,2,2,2,2,2,3,3,3,5,6,2,3,3,3,3,3,2,4,2,3,4,4,2,3,4,3,6,2,3,3,3,4
"Providence County, RI",US,41.8882,-71.4774,3,4,3,1,1,5,1,2,4,3,3,5,6,2,1,2,4,6,1,3,4,1,1,1,1,3,3,3,3,3,1,1,0,2,2,1,1,2,5,4,1,3,1,3,1,4,2,2,2,2,4,3,2,3,2,2,1,2,5,4,3,3,3,3,5,3,3,5,3,3,4,2,2,4,4,2,3,2,2
"Chatham County, NC",US,35.7211,-79.1781,2,2,1,1,3,3,1,2,2,1,1,4,3,1,2,1,3,2,2,3,3,3,2,1,3,2,1,1,2,1,1,2,1,3,2,3,2,3,5,1,1,2,4,2,4,2,2,1,1,1,2,2,3,1,1,1,2,2,4,2,3,1,3,3,1,1,3,3,1,2,3,1,1,3,2,2,1,1,2
"Delaware County, PA",US,39.9078,-75.3879,2,3,1,1,2,5,2,1,4,2,2,4,5,1,1,1,5,4,2,4,4,2,1,0,2,4,2,3,3,2,1,1,0,2,2,1,2,1,5,3,1,3,1,2,2,4,2,1,1,2,3,2,2,2,1,1,1,2,6,4,4,3,3,2,4,2,2,4,2,2,4,2,2,3,3,2,3,1,2
"Douglas County, NE",US,41.3148,-96.1951,4,4,2,5,4,5,2,3,5,5,6,4,2,3,3,5,3,6,7,4,2,5,4,3,4,2,1,3,1,1,4,2,3,2,7,6,1,2,5,3,6,2,3,6,4,7,3,3,5,2,4,2,6,4,2,4,6,4,2,3,5,4,3,4,4,8,3,8,8,5,2,3,7,2,4,3,2,3,2
"Fayette County, KY",US,38.0606,-84.4803,5,3,4,2,4,4,1,3,3,4,5,8,2,1,2,3,4,4,7,5,2,1,1,2,2,4,3,2,1,2,1,1,2,5,4,4,4,2,4,2,3,3,2,2,3,2,2,2,2,3,2,3,1,2,3,3,3,4,4,4,3,3,4,4,3,2,5,1,3,4,4,1,2,4,3,3,1,2,3
"Marion County, IN",US,39.8362,-86.1752,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2,1,1,1,0,0,0,1,0,0,5,0,1,2,0,0,0,1,0,0,0,0,0
"Middlesex County, MA",US,42.4672,-71.2874,3,4,3,1,1,5,1,2,3,3,3,5,6,2,1,2,4,6,2,3,4,1,1,0,1,3,3,3,3,3,1,1,0,1,2,0,1,2,4,5,0,3,1,3,1,4,2,2,2,2,4,3,2,3,1,2,1,2,6,5,3,3,3,3,5,3,3,6,2,3,3,2,2,4,5,3,3,2,1
"Nassau County, NY",US,40.6546,-73.5594,4,6,3,2,2,7,3,2,6,3,3,6,7,2,2,2,7,6,3,5,5,2,1,1,2,6,4,4,4,4,2,1,1,3,3,2,3,3,7,4,3,4,1,4,2,5,3,3,1,3,4,3,4,4,3,2,2,3,9,7,6,5,5,3,5,3,4,5,3,4,4,2,3,5,4,2,4,2,2
"Ramsey County, MN",US,44.9964,-93.0616,3,2,2,1,2,4,2,4,3,3,3,3,2,2,2,2,2,4,4,3,1,4,3,1,2,3,1,1,1,0,2,2,3,4,3,2,2,2,1,2,2,2,3,4,3,4,3,1,3,4,2,2,3,2,2,1,2,3,2,2,3,3,3,4,2,4,2,4,4,3,1,2,4,5,2,2,3,3,2
"Washoe County, NV",US,40.5608,-119.6035,1,4,2,1,2,2,1,1,3,2,2,5,4,5,6,2,4,2,1,2,1,3,2,1,2,1,3,2,4,1,1,1,1,4,4,1,2,2,1,4,4,1,1,1,1,2,2,4,2,2,3,2,1,1,3,2,1,1,2,2,3,4,2,1,1,2,4,5,2,1,2,1,3,4,6,3,2,4,2
"Wayne County, PA",US,41.6739,-75.2479,2,4,2,1,2,5,3,1,4,3,3,4,5,1,1,2,6,5,3,4,5,2,1,0,1,4,3,3,4,3,1,1,1,1,3,2,3,2,4,3,1,2,1,3,2,4,2,2,1,3,4,3,2,2,2,1,0,2,6,4,4,3,2,2,4,2,2,4,2,3,3,2,2,4,4,2,3,3,2
"Yolo County, CA",US,38.7646,-121.9018,2,1,2,1,2,1,2,2,1,2,2,2,2,3,3,2,5,1,2,1,1,3,1,1,1,1,3,2,3,3,2,1,1,3,5,5,1,1,1,3,9,6,5,2,1,1,1,1,5,2,2,2,3,2,1,4,4,1,2,1,2,5,7,3,1,2,3,3,1,2,3,1,3,4,4,4,1,2,1
"Santa Clara County, CA",US,37.3541,-121.9552,1,2,1,1,2,1,1,1,1,3,1,2,1,1,2,1,4,1,1,1,1,3,1,1,1,1,2,1,1,2,1,1,1,4,2,2,1,1,1,1,4,2,2,1,2,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,2,2,3,2,1,2,2,2,1,1,1,2,1,4,3,3,1,1,1
"Clark County, NV",US,36.0796,-115.094,3,1,3,1,1,1,2,1,1,2,3,1,1,1,1,1,2,3,1,2,1,1,1,1,1,1,1,3,1,5,2,1,1,4,7,6,1,1,1,1,5,5,5,1,1,1,1,1,2,2,2,2,1,1,2,2,4,1,1,1,1,6,5,4,1,1,2,4,4,3,2,1,2,4,5,4,4,3,2
"Fort Bend County, TX",US,29.5693,-95.8143,1,2,2,3,2,3,2,2,3,5,7,4,2,2,3,3,3,4,3,5,2,2,5,3,1,3,2,2,3,4,2,2,2,3,5,4,6,5,3,3,5,4,4,3,4,2,3,1,4,3,3,6,4,2,3,2,3,7,1,2,3,5,3,2,3,4,2,2,4,4,2,3,4,4,4,3,2,3,5
"Grant County, WA",US,47.1981,-119.3732,3,4,3,2,5,4,4,4,4,1,3,2,4,4,2,3,2,1,1,2,1,2,1,1,1,2,2,1,2,2,1,4,7,2,2,2,1,1,2,4,2,1,3,1,2,4,3,4,2,1,2,2,1,1,5,4,1,1,1,3,5,3,4,5,4,2,2,2,1,1,2,5,2,4,7,5,3,2,2
"Santa Rosa County, FL",US,30.769000000000002,-86.9824,2,1,4,3,3,1,1,2,1,3,4,5,1,2,2,1,2,3,3,4,3,3,1,2,2,1,1,1,1,3,1,1,2,1,2,3,4,5,3,2,3,4,3,4,4,3,1,2,1,2,2,3,4,1,1,2,1,3,2,2,2,2,3,3,3,3,4,2,2,3,1,2,2,1,1,1,2,1,2
"Williamson County, TN",US,35.9179,-86.8622,3,2,3,2,4,2,1,3,1,4,6,7,1,1,1,3,4,3,6,4,3,2,1,2,3,2,2,2,1,2,1,1,2,4,4,5,2,3,3,2,4,4,3,2,4,2,2,2,3,4,4,4,2,1,2,4,2,4,3,3,2,4,4,3,1,2,5,1,3,4,4,1,3,4,2,3,1,2,3
"New York County, NY",US,40.7128,-74.006,3,4,3,2,1,3,4,2,4,2,3,3,4,2,2,2,3,3,2,3,2,2,1,1,2,5,3,3,2,2,2,1,1,3,2,1,3,4,5,4,3,3,1,3,1,3,3,3,2,3,2,2,3,4,2,1,1,3,7,7,4,3,2,2,5,2,3,2,3,3,4,2,2,4,3,2,4,2,2
"Montgomery County, MD",US,39.1547,-77.2405,2,3,1,2,2,5,2,1,3,2,3,5,4,1,1,2,6,4,3,5,4,2,0,1,3,3,3,3,4,2,1,1,0,3,2,1,3,1,6,2,2,4,2,2,4,4,2,2,1,2,4,1,3,2,1,1,1,2,7,3,4,2,3,3,3,2,3,5,2,2,4,2,2,4,3,2,3,2,3
"Suffolk County, MA",US,42.3601,-71.0589,4,4,3,2,1,5,1,2,4,4,3,6,6,2,1,2,5,6,2,3,4,2,1,2,2,4,3,3,3,3,2,2,1,2,3,1,2,3,4,5,2,4,1,3,1,4,3,3,3,3,4,3,2,3,2,3,1,2,6,4,3,3,3,3,5,3,3,6,3,3,3,3,3,4,4,3,3,2,2
"Denver County, CO",US,39.7392,-104.9903,1,2,1,2,2,2,3,1,2,2,1,1,1,1,1,2,1,2,1,1,1,0,3,1,1,1,1,1,1,1,1,2,3,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,3,4,2,3,1,1,2,1,1,2,2,1,1,2,1,2,1,2,2,2,1,2,1,2
"Summit County, CO",US,39.5912,-106.064,2,2,2,2,2,3,2,2,3,2,2,2,2,3,4,3,2,3,2,2,1,1,3,3,1,2,2,2,2,1,2,2,2,3,3,2,2,3,5,3,2,2,2,2,3,3,3,2,3,1,2,2,2,2,2,4,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2
"Bergen County, NJ",US,40.9263,-74.077,2,3,2,1,1,5,2,1,4,2,2,3,4,1,1,1,5,5,1,3,4,1,0,0,1,3,2,2,3,2,1,1,0,2,2,1,2,2,4,3,1,2,1,2,1,4,2,2,1,2,3,2,2,2,1,1,1,2,6,4,4,3,2,2,4,2,2,4,2,3,3,2,2,3,3,2,3,2,2
"Harris County, TX",US,29.7752,-95.3103,1,2,1,2,2,2,2,2,3,4,6,4,1,2,2,2,2,3,2,4,2,2,4,3,1,2,2,2,3,4,2,2,2,3,4,3,4,4,3,2,4,4,3,2,3,2,2,1,3,2,3,5,3,2,3,2,2,6,1,2,3,5,3,2,3,4,3,3,4,4,2,3,4,3,4,2,2,3,4
"San Francisco County, CA",US,37.7749,-122.4194,1,3,1,2,2,2,2,3,2,3,2,3,2,3,4,2,5,2,3,3,2,4,1,2,1,1,3,2,3,2,2,1,2,5,5,4,1,1,2,2,7,2,2,1,3,1,2,2,1,2,1,1,2,3,3,2,1,1,2,2,5,3,5,1,2,3,3,2,2,2,2,2,2,4,4,4,2,2,3
"Contra Costa County, CA",US,37.8534,-121.9018,3,3,4,4,3,3,4,3,3,4,2,3,3,4,3,2,5,1,2,4,3,4,1,1,2,1,4,3,3,4,4,2,1,5,5,5,3,3,3,3,9,4,4,3,3,2,2,3,4,2,1,2,2,3,4,4,3,2,2,2,5,5,6,3,2,3,5,3,2,2,3,2,3,6,5,4,2,1,2
"Orange County, CA",US,33.7879,-117.8531,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,2,4,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1
"Norfolk County, MA",US,42.1767,-71.1449,2,3,2,1,1,3,1,1,3,2,3,4,5,1,1,1,3,4,1,2,2,1,1,1,1,3,3,2,2,2,1,1,0,1,2,1,1,2,4,4,1,3,1,3,1,3,2,2,2,1,3,2,2,2,2,2,1,2,5,4,3,2,3,3,5,2,3,4,2,3,3,2,1,3,4,2,2,1,2
"Maricopa County, AZ",US,33.2918,-112.4291,3,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,2,4,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,4,3,2,2,4,3,2,2,1,3,2,3,1,2,3,3,3,1,2,1,2,3,1,1,2,2,4
"Wake County, NC",US,35.8032,-78.5661,2,2,2,1,3,3,1,2,2,2,2,4,3,2,2,1,3,3,2,4,3,3,2,2,3,2,2,1,2,1,2,2,2,3,2,3,2,4,6,1,1,2,4,3,4,3,2,1,1,1,2,2,3,1,2,1,2,2,4,2,3,1,3,3,1,2,4,3,1,3,3,1,1,3,2,3,2,2,2
"Westchester County, NY",US,41.122,-73.7949,2,3,2,1,1,5,2,1,4,2,2,3,5,1,1,1,5,5,2,4,4,1,0,0,1,4,2,3,3,3,1,1,0,2,2,1,2,2,4,3,1,2,1,2,1,4,2,2,1,2,4,3,2,2,1,1,1,2,6,4,4,3,2,2,5,2,2,4,2,3,3,2,2,4,3,2,3,2,2
